ap_timeo;ap_datemaj;Commune (nom);Coordonnées;Commune (code INSEE);id;ap_datedeb;ap_datefin;ap_adresse;desserte;desserte_scolaire;desserte_soirs_we;desserte_dimanche;desserte_2145;acces_pmr;banc;eclairage;poubelle;quartier_offre;ap_modif;Date de début de version;Date de fin de version;Est la version active;Visibilité
2224;2022-09-01T02:00:00+02:00;Saint-Jacques-de-la-Lande;48.075073, -1.71604;35281;2224;2022-10-24T02:00:00+02:00;;1 bis rue Jacqueline Auriol, Saint-Jacques-de-la-Lande;C6 13;219;;;;Oui;Non;Non;Non;Morinais;Changement de desserte;2022-10-24;;Oui;Grand public
4163;2018-02-07T01:00:00+01:00;Brécé;48.108239, -1.507377;35039;4163;;;2 rue du Champ de la Fontaine, Brécé;67;;11;67;;Oui;Non;Non;Non;Brécé -ZA Turbanière;;2002-01-01;;Oui;Grand public
4064;2021-09-15T02:00:00+02:00;La Chapelle-des-Fougeretz;48.172842, -1.723409;35059;4064;;;5 rue du Tertre, la Chapelle-des-Fougeretz;;Ts41;;;;Non;Oui;Non;Non;La Chapelle Fougeretz - scolaire;;2002-01-01;;Oui;Grand public
2865;2022-09-01T02:00:00+02:00;Saint-Grégoire;48.14727, -1.657395;35278;2865;2022-10-24T02:00:00+02:00;;1 avenue de la Libération, Saint-Grégoire;39;;;;;Oui;;;;Saint-Grégoire Maison Blanche/Kerfleury;Création;2022-10-24;;Oui;Grand public
2916;2018-08-28T02:00:00+02:00;Chartres-de-Bretagne;48.041683, -1.702487;35066;2916;;;81 rue de la Poterie, Chartres-de-Bretagne;72 91;;;72;;Impossible;Oui;Oui;Oui;Chartres Centre;;2022-10-24;;Oui;Grand public
4404;2021-09-15T02:00:00+02:00;Le Verger;48.069144, -1.943388;35351;4404;;;15 Breil-Montbusson, le Verger;;Ts35;;;;Non;Oui;Non;Oui;Le Verger - scolaire;;2002-01-01;;Oui;Grand public
3205;2018-02-07T01:00:00+01:00;Orgères;47.976081, -1.657175;35208;3205;;;6 la Petite Rochelle, Orgères;74;Ts5 Ts53;;;;Impossible;Non;Non;Non;Orgères Sud;;2023-09-04;;Oui;Grand public
3038;2018-08-28T02:00:00+02:00;Chantepie;48.087497, -1.616789;35055;3038;2016-08-29T02:00:00+02:00;;84 avenue André Bonnin, Chantepie;C1 13 34;;;;;Oui;Non;Non;Non;Chantepie cœur de ville;;2024-02-12;;Oui;Grand public
3202;2022-09-30T02:00:00+02:00;Orgères;47.975399, -1.651256;35208;3202;;;30 l'Audinière, Orgères;74;Ts5 213;;;;Impossible;Oui;Non;Non;Orgères Sud;;2002-01-01;;Oui;Grand public
3036;2018-06-07T02:00:00+02:00;Chantepie;48.092722, -1.617959;35055;3036;;;15 B rue des Landes, Chantepie;34;;;;;Oui;Non;Non;Non;Chantepie Landes;Correction;2024-02-12;;Oui;Grand public
